mes,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-05,GERAL,GERAL,Google Ads,6021900,86173,39365.067221,43639.404856,87.994713,0.0022353502537157525,0.9020532555587242,1.4309935402447733
2025-05,Nacoes Shopping,Nacoes Shopping,TikTok Ads,1009450,1358,2253.87,0.0,0.0,0.0,0.0,0.1345287037495666
2025-06,GERAL,GERAL,Google Ads,7695929,123318,28899.254671,54685.306699,36.0,0.0012457068671783255,0.5284647086294656,1.6023796477332368
2025-06,Nacoes Shopping,Nacoes Shopping,TikTok Ads,354202,402,940.51,0.0,0.0,0.0,0.0,0.11349455960158329
2025-07,GERAL,GERAL,Google Ads,10736713,167558,41512.16947,127028.94381,80.012728,0.0019274523355813423,0.3267929987050091,1.5606079812322449
2025-07,Nacoes Shopping,Nacoes Shopping,TikTok Ads,952582,0,2054.6,0.0,0.0,0.0,0.0,0.0
2025-08,GERAL,GERAL,Google Ads,16700982,185191,48873.653745,122368.322874,350.987272,0.0071815230723548595,0.3993979209417141,1.1088629399157488
2025-08,Nacoes Shopping,Nacoes Shopping,TikTok Ads,509434,0,1078.37,0.0,0.0,0.0,0.0,0.0
2025-09,GERAL,GERAL,Google Ads,7624268,103023,23204.673736,114778.592131,514.004402,0.02215089976475591,0.20216900473492358,1.351251031574441
2025-09,Nacoes Shopping,Nacoes Shopping,TikTok Ads,353060,0,845.65,0.0,0.0,0.0,0.0,0.0
2025-10,GERAL,GERAL,Google Ads,5991255,115029,42187.073149,98962.17911900001,1237.995598,0.029345377756535482,0.42629490907097856,1.9199483246832258
2025-10,Nacoes Shopping,Nacoes Shopping,TikTok Ads,409294,14,926.9300000000001,0.0,0.0,0.0,0.0,0.0034205241220247548
2025-11,BS,BS,Meta Ads,1430696,21826,4912.81,15027.0,0.0,0.0,0.3269321887269582,1.525551200254981
2025-11,CS,CS,Meta Ads,3285777,10521,6562.88,5542.0,0.0,0.0,1.1842078671959582,0.3201982362162739
2025-11,GERAL,GERAL,Google Ads,4087887,126887,27971.165061,93078.007216,1241.0,0.04436711868431672,0.30051314910609506,3.103975232192084
2025-11,GS,GS,Meta Ads,5727081,12407,13195.39,7769.0,0.0,0.0,1.6984669841678466,0.21663741092539116
2025-11,NK,NK,Meta Ads,2436528,6472,5731.75,4652.0,0.0,0.0,1.232104471195185,0.2656238713447988
2025-11,NR,NR,Meta Ads,3704145,8364,8213.68,5304.0,0.0,0.0,1.548582202111614,0.22580109579943547
2025-11,NS,NS,Meta Ads,2200963,6107,4385.64,3951.0,0.0,0.0,1.1100075930144269,0.2774694531439193
2025-11,Nacoes Shopping,Nacoes Shopping,TikTok Ads,636228,18055,2355.89,0.0,0.0,0.0,0.0,2.837819146595246
2025-12,BS,BS,Meta Ads,2452480,12709,4815.08,10501.0,0.0,0.0,0.4585353775830873,0.5182101383089771
2025-12,CS,CS,Meta Ads,4960195,20513,8435.52,15448.0,0.0,0.0,0.5460590367685138,0.41355228977893005
2025-12,GERAL,GERAL,Google Ads,2529764,53230,24894.723606,67836.828169,335.0,0.0134566667741296,0.36697947527824365,2.104148845504956
2025-12,GS,GS,Meta Ads,3590868,10667,6134.74,8395.0,0.0,0.0,0.7307611673615247,0.2970590954610417
2025-12,NK,NK,Meta Ads,4360977,16214,7238.36,10751.0,0.0,0.0,0.6732731838898707,0.3717974206238648
2025-12,NR,NR,Meta Ads,3554892,13144,6052.78,7444.0,0.0,0.0,0.8131085437936593,0.3697440034746485
2025-12,NS,NS,Meta Ads,4147973,17758,7059.67,12004.0,0.0,0.0,0.5881097967344219,0.4281127191522221
2025-12,Nacoes Shopping,Nacoes Shopping,TikTok Ads,867243,32052,2614.86,0.0,0.0,0.0,0.0,3.695849952089553
2026-01,BS,BS,Meta Ads,3671535,7420,5506.25,5765.0,0.0,0.0,0.9551170858629662,0.2020953089103059
2026-01,CS,CS,Meta Ads,7020553,13658,8594.78,7167.0,0.0,0.0,1.1992158504255617,0.1945430794411779
2026-01,GERAL,GERAL,Google Ads,5851401,182413,28710.127205,94689.179668,319.0,0.011111061881482875,0.3032038856568796,3.1174243570044164
2026-01,GS,GS,Meta Ads,4801831,7963,7122.58,6021.0,0.0,0.0,1.1829563195482478,0.16583257511561736
2026-01,NK,NK,Meta Ads,4821637,9401,7049.09,6085.0,0.0,0.0,1.1584371405094496,0.19497527499477874
2026-01,NR,NR,Meta Ads,5281385,10906,7884.41,5358.0,0.0,0.0,1.47152108995894,0.20649886346100502
2026-01,NS,NS,Meta Ads,5249636,13069,7833.1900000000005,9253.0,0.0,0.0,0.8465567923916568,0.2489505939078443
2026-01,Nacoes Shopping,Nacoes Shopping,TikTok Ads,398178,7,691.17,0.0,0.0,0.0,0.0,0.0017580077251882324
2026-02,BS,BS,Meta Ads,6752848,11666,8964.77,8492.0,0.0,0.0,1.055672397550636,0.17275673908253228
2026-02,CS,CS,Meta Ads,5706408,16568,7919.7,9858.0,0.0,0.0,0.8033779671332928,0.2903402630866913
2026-02,GERAL,GERAL,Google Ads,4701826,124432,48942.347868,105710.883103,99.0,0.002022788123426527,0.46298305748058827,2.646461183378543
2026-02,GS,GS,Meta Ads,4196886,6100,6173.48,3598.0,0.0,0.0,1.7158087826570316,0.1453458588105562
2026-02,NK,NK,Meta Ads,4172890,4991,5596.46,1007.0,0.0,0.0,5.557557100297915,0.11960535743813042
2026-02,NR,NR,Meta Ads,6210228,8681,7928.47,4766.0,0.0,0.0,1.6635480486781369,0.13978552800315866
2026-02,NS,NS,Meta Ads,4533855,6796,5684.65,4788.0,0.0,0.0,1.1872702589807853,0.14989451581490806
2026-02,Nacoes Shopping,Nacoes Shopping,TikTok Ads,466873,0,850.52,0.0,0.0,0.0,0.0,0.0
2026-03,BS,BS,Meta Ads,8731066,9563,11980.29,6363.0,0.0,0.0,1.8828052805280528,0.1095284355885066
2026-03,CS,CS,Meta Ads,2674740,5653,3927.06,4078.0,0.0,0.0,0.9629867582148112,0.2113476450047481
2026-03,GERAL,GERAL,Google Ads,4741228,187610,34560.242739,106645.747521,15.9,0.0004600662130783421,0.3240658304935658,3.956991732943448
2026-03,GS,GS,Meta Ads,5076581,7984,8049.92,3820.0,0.0,0.0,2.1073089005235603,0.1572712028036192
2026-03,NK,NK,Meta Ads,4953010,6205,6767.650000000001,2769.0,0.0,0.0,2.4440772842181295,0.12527735659730144
2026-03,NR,NR,Meta Ads,4994086,6997,7881.26,4976.0,0.0,0.0,1.583854501607717,0.1401057170421174
2026-03,NS,NS,Meta Ads,6945701,8364,9776.18,4644.0,0.0,0.0,2.105120585701981,0.12041981075776224
2026-03,Nacoes Shopping,Nacoes Shopping,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,BS,BS,Meta Ads,3444277,8203,5208.57,6414.0,0.0,0.0,0.8120626753975678,0.2381631907073676
2026-04,CS,CS,Meta Ads,4831720,24480,8097.29,21539.0,0.0,0.0,0.3759362087376387,0.5066518755225883
2026-04,GERAL,GERAL,Google Ads,9355691,225651,47697.232479,205106.534421,76.75,0.0016091080343873466,0.23254857585910477,2.411911637526293
2026-04,GS,GS,Meta Ads,3940328,16396,6384.88,10367.0,0.0,0.0,0.6158850197742838,0.41610749155907834
2026-04,NK,NK,Meta Ads,2193536,12501,3893.24,11705.0,0.0,0.0,0.332613413071337,0.5699017476804574
2026-04,NR,NR,Meta Ads,4757742,10741,7235.0,8953.0,0.0,0.0,0.8081090137384117,0.22575835343740794
2026-04,NS,NS,Meta Ads,2885065,10148,4239.62,6164.0,0.0,0.0,0.6878033744321869,0.3517425084010239
2026-04,Nacoes Shopping,Nacoes Shopping,TikTok Ads,15978,631,39.5,0.0,0.0,0.0,0.0,3.9491801226686696
2026-05,BS,BS,Meta Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,CS,CS,Meta Ads,570231,2349,951.71,2097.0,0.0,0.0,0.45384358607534575,0.4119383197335817
2026-05,GERAL,GERAL,Google Ads,469589,19832,2388.806174,7660.333332,14.336998616,0.006001742113715753,0.31184102185489593,4.22326758079938
2026-05,GS,GS,Meta Ads,617826,2039,997.23,1397.0,0.0,0.0,0.7138367931281318,0.33002819564084385
2026-05,NK,NK,Meta Ads,1107423,2966,1779.51,2620.0,0.0,0.0,0.6792022900763359,0.26782900481568467
2026-05,NR,NR,Meta Ads,164285,2113,305.9,2022.0,0.0,0.0,0.1512858555885262,1.2861795051282832
2026-05,NS,NS,Meta Ads,293736,1558,574.52,1334.0,0.0,0.0,0.43067466266866566,0.5304082577552632
2026-05,Nacoes Shopping,Nacoes Shopping,TikTok Ads,152409,8251,378.24,0.0,0.0,0.0,0.0,5.413722286741597
