hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
0,Google Ads,889,222,22.052935,147.766672,24.9718785151856,0.09933754504504505
1,Google Ads,475,115,12.18938,96.316667,24.210526315789473,0.10599460869565218
2,Google Ads,259,65,7.205243,53.333333,25.096525096525095,0.11084989230769231
3,Google Ads,152,35,3.731068,18.583334,23.026315789473685,0.10660194285714286
4,Google Ads,136,24,1.918513,19.369643,17.647058823529413,0.07993804166666667
5,Google Ads,177,29,4.300295,25.592858,16.38418079096045,0.14828603448275862
6,Google Ads,346,58,6.775163,40.354166,16.76300578034682,0.1168131551724138
7,Google Ads,1069,229,27.65695,168.933333,21.421889616463986,0.12077270742358077
8,Google Ads,2588,555,65.526263,435.442545,21.4451313755796,0.11806533873873874
9,Google Ads,4942,1044,131.972823,783.63479,21.125050586806964,0.12641075000000002
10,Google Ads,6614,1615,193.435059,1244.14828,24.4179014212277,0.11977403034055727
11,Google Ads,7991,1968,234.455574,1469.025225,24.62770616944062,0.11913392987804879
12,Google Ads,8659,2299,258.898611,1664.346552,26.55040997805751,0.11261357590256633
13,Google Ads,8170,2156,242.318397,1592.899306,26.389228886168908,0.11239257745825604
14,Google Ads,7191,1901,211.292685,1505.011329,26.43582255597274,0.11114817727511836
15,Google Ads,6605,1605,191.185121,1240.753615,24.299772899318697,0.1191184554517134
16,Google Ads,5952,1474,170.235211,1186.240553,24.76478494623656,0.11549200203527815
17,Google Ads,5776,1407,165.321847,1248.724244,24.359418282548475,0.11749953589196872
18,Google Ads,4920,1197,132.371631,994.438886,24.329268292682926,0.11058615789473684
19,Google Ads,3587,829,96.826528,704.68426,23.111235015333147,0.11679918938480097
20,Google Ads,2742,678,69.74179,464.091196,24.72647702407002,0.10286399705014748
21,Google Ads,1841,470,44.563535,245.329723,25.529603476371538,0.09481603191489361
22,Google Ads,1148,330,25.777467,170.816669,28.745644599303137,0.07811353636363637
23,Google Ads,563,159,11.248727,126.233333,28.24156305506217,0.07074671069182391
0,Google Ads,591,147,11.328665,79.666666,24.873096446700508,0.07706574829931974
1,Google Ads,284,72,6.049897,57.238096,25.352112676056336,0.08402634722222221
2,Google Ads,164,40,2.794141,30.0,24.390243902439025,0.069853525
3,Google Ads,98,17,2.341439,11.5,17.346938775510203,0.13773170588235292
4,Google Ads,93,17,1.351713,15.0,18.27956989247312,0.0795125294117647
5,Google Ads,126,24,2.966899,24.185186,19.047619047619047,0.12362079166666667
6,Google Ads,348,63,9.009837,58.916668,18.103448275862068,0.1430132857142857
7,Google Ads,862,207,22.793125,176.367945,24.013921113689097,0.1101117149758454
8,Google Ads,1963,421,46.217753,337.366669,21.44676515537443,0.10978088598574823
9,Google Ads,3136,695,81.199025,568.626623,22.16198979591837,0.11683312949640288
10,Google Ads,4124,893,109.250718,777.821763,21.6537342386033,0.12234122956326988
11,Google Ads,4736,1090,125.733892,962.785151,23.0152027027027,0.11535219449541284
12,Google Ads,4893,1213,146.188439,1070.151689,24.79051706519518,0.12051808656224236
13,Google Ads,4568,1130,120.43132,932.869402,24.737302977232925,0.10657638938053098
14,Google Ads,4244,999,104.855411,843.037107,23.539114043355326,0.10496037137137137
15,Google Ads,4021,935,104.034964,791.236315,23.252922158666998,0.1112673411764706
16,Google Ads,4003,875,105.542442,836.057424,21.8586060454659,0.12061993371428571
17,Google Ads,4200,1024,116.159741,883.37491,24.38095238095238,0.1134372470703125
18,Google Ads,3970,936,100.789441,823.443533,23.57682619647355,0.1076810267094017
19,Google Ads,3712,852,85.81877,717.812436,22.95258620689655,0.1007262558685446
20,Google Ads,2952,768,68.676692,569.301188,26.01626016260163,0.08942277604166667
