plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC Continente Night RUN - Vendas!,37732,63.14,8.0,2.0,2.0,1.0,,
Meta Ads,[TFG] Corrida Story Final,0,0.0,,,,,,
Meta Ads,ALC - NATAL 25,401337,648.74,8596.0,2309.0,1234.0,878.0,,
Meta Ads,TRAF - NATAL 25,210333,731.28,18156.0,7255.0,4112.0,2715.0,,
Meta Ads,[ALC] Pandora Black Friday,58406,87.96,2297.0,876.0,496.0,336.0,,
Meta Ads,[ALC] Promo Nike 30% OFF Nov,57824,84.58,1808.0,675.0,389.0,264.0,,
Meta Ads,[ALC] Curso de Gestantes Nov.,212078,349.93,,,,,,
Meta Ads,[BF] ALC Riachuelo,60427,99.87,6.0,2.0,1.0,,,
Meta Ads,[BF] ALC Adcos,152589,249.98,,,,,,
Meta Ads,[BF] ALC Nike,94719,150.0,11.0,2.0,1.0,1.0,,
Meta Ads,[BF] Outlet Aniversário,55037,99.93,1244.0,522.0,158.0,99.0,,
Meta Ads,[BF] Outlet Aniversário - 2,57938,99.93,23.0,12.0,7.0,5.0,,
Meta Ads,[ALC] Black Friday Gastronomia,301998,499.95,3.0,1.0,,,,
Meta Ads,[ALC] Black Friday Jóias,325451,500.0,802.0,294.0,173.0,120.0,,
Meta Ads,[ALC] Black Friday Inst.,580936,1000.0,14160.0,5838.0,3412.0,2437.0,,
Meta Ads,[ALC] Spedini,191662,350.0,4924.0,1980.0,1159.0,850.0,,
Meta Ads,[ENG] Post Foto Papai Noel,74372,349.99,22662.0,13133.0,8725.0,3356.0,,
Meta Ads,[ENG] Decoração de Natal,48851,202.62,9448.0,5741.0,3893.0,3278.0,,
Meta Ads,[ALC] Vídeo Promo Natal 25 Sara,55028,95.38,252.0,56.0,29.0,11.0,,
Meta Ads,[ENG] Encontro Pet,17696,199.92,,,,,,
Meta Ads,[TFG] Narbona - Jazz,19731,148.4,,,,,,
Meta Ads,[ALC] Horário Black,91376,199.4,,,,,,
Meta Ads,[ALC] Eventos de Natal,92525,199.99,246.0,92.0,44.0,22.0,,
Meta Ads,ALC - NATAL 25,1836984,2601.21,37215.0,15326.0,7100.0,4835.0,,
Meta Ads,TRAF - NATAL 25,297821,2044.84,17961.0,8619.0,5373.0,3805.0,,
Meta Ads,[ENG] Post Foto Papai Noel,0,0.0,,,,,,
Meta Ads,[ALC] Agenda de Natal,187422,349.93,4.0,2.0,1.0,1.0,,
Meta Ads,ALC - NARBONA,714095,948.77,3367.0,1013.0,582.0,339.0,,
Meta Ads,ALC - Horário final de ano,765258,940.83,,,,,,
Meta Ads,TFG - Story Horário Dezembro,125788,349.97,1.0,1.0,1.0,1.0,,
Meta Ads,[ALC] Homem do Sapato - feed,286493,349.99,,,,,,
Meta Ads,[ALC] Homem do Sapato - Reels,415185,499.98,12399.0,4491.0,2246.0,1163.0,,
Meta Ads,[ALC] Horário dezembro 02,331149,350.0,,,,,,
Meta Ads,ALC - NATAL 25,770719,623.53,24322.0,9528.0,4803.0,3212.0,,
Meta Ads,TRAF - NATAL 25,72732,465.05,8963.0,4794.0,3201.0,2395.0,,
Meta Ads,ALC - NARBONA,871148,947.59,6087.0,1761.0,993.0,608.0,,
