shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,SUNDAY,889,222,0.24971878515185603,22.052935,148.766672,0.0
GERAL,GERAL,0,SUNDAY,471,116,0.24628450106157113,6.394602,67.581729,0.0
GERAL,GERAL,0,SUNDAY,1442,592,0.4105409153952843,20.20837,208.603708,3.0
GERAL,GERAL,0,SUNDAY,862,292,0.33874709976798145,11.320136,120.060118,0.0
GERAL,GERAL,0,SUNDAY,533,77,0.14446529080675422,14.777486,56.316666,0.0
GERAL,GERAL,0,SUNDAY,1304,442,0.3389570552147239,7.140722,207.916666,2.0
GERAL,GERAL,0,SUNDAY,44,3,0.06818181818181818,15.34,0.0,0.0
GERAL,GERAL,0,SUNDAY,1136,112,0.09859154929577464,39.372463,34.0,0.0
GERAL,GERAL,0,SUNDAY,976,98,0.10040983606557377,44.197298,24.0,0.0
GERAL,GERAL,0,SUNDAY,1174,109,0.09284497444633731,40.508983,31.0,0.0
GERAL,GERAL,0,SUNDAY,935,100,0.10695187165775401,35.56722,30.0,0.0
GERAL,GERAL,0,SUNDAY,1142,94,0.08231173380035026,29.189964,22.0,0.0
GERAL,GERAL,0,SUNDAY,1733,146,0.08424697057126371,53.13299,36.0,0.0
GERAL,GERAL,0,SUNDAY,184,4,0.021739130434782608,0.823924,0.0,0.0
GERAL,GERAL,0,SUNDAY,20,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,SUNDAY,1126,4,0.003552397868561279,1.891955,28.0,0.0
GERAL,GERAL,0,SUNDAY,1265,5,0.003952569169960474,2.147808,48.0,0.0
GERAL,GERAL,0,SUNDAY,1222,13,0.010638297872340425,3.625636,52.0,0.0
GERAL,GERAL,0,SUNDAY,1819,8,0.0043980208905992305,4.137136,39.0,0.0
GERAL,GERAL,0,SUNDAY,45,1,0.022222222222222223,0.367211,0.0,0.0
GERAL,GERAL,0,SUNDAY,34,4,0.11764705882352941,1.016625,0.0,0.0
GERAL,GERAL,0,SUNDAY,65,4,0.06153846153846154,1.035724,0.0,0.0
GERAL,GERAL,0,SUNDAY,44,2,0.045454545454545456,0.400223,0.0,0.0
GERAL,GERAL,0,SUNDAY,25,1,0.04,0.415352,0.0,0.0
GERAL,GERAL,0,SUNDAY,1611,5,0.0031036623215394167,2.645325,34.0,0.0
GERAL,GERAL,0,SUNDAY,761,1,0.001314060446780552,1.710366,42.0,0.0
GERAL,GERAL,0,SUNDAY,41,2,0.04878048780487805,0.208855,0.0,0.0
GERAL,GERAL,0,SUNDAY,16,2,0.125,5.25,0.0,0.0
GERAL,GERAL,0,SUNDAY,52,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,SUNDAY,1224,0,0.0,4.326815,0.0,0.0
GERAL,GERAL,0,SUNDAY,107,0,0.0,0.424979,0.0,0.0
