campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,device_platform,shopping
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,1706,1236,1.380259,0,0.0,0.0,1.177749,2.009239,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,233.0,0,0.008623,1.0,0,0,233.0,0,0.008623,0,0,0,0.0,0,0,0.0,0,0,32.0,18.0,13.0,9.0,,,,0.0,desktop,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,459818,251453,1.828644,544,0.118308,1.013348,1.198868,551.261208,360.0,0,1.531281,55.0,0,10.022931,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,24527.0,0,0.022476,98.0,0,0,24527.0,0,0.022476,0,0,0,0.0,0,0,0.0,0,0,3310.0,1009.0,563.0,354.0,,,,360.0,mobile_app,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,1055,746,1.414209,0,0.0,0.0,1.11806,1.179553,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,118.0,0,0.009996,0.0,0,0,118.0,0,0.009996,0,0,0,0.0,0,0,0.0,0,0,11.0,2.0,1.0,,,,,0.0,mobile_web,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,1216,982,1.238289,2,0.164474,0.699958,1.151247,1.399916,1.0,0,1.399916,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,193.0,0,0.007253,0.0,0,0,193.0,0,0.007253,0,0,0,0.0,0,0,0.0,0,0,20.0,9.0,6.0,4.0,,,,1.0,desktop,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,279716,225101,1.242624,982,0.35107,0.33612,1.180019,330.070135,192.0,0,1.719115,20.0,0,16.503507,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,21218.0,0,0.015556,120.0,0,0,21220.0,0,0.015555,0,0,0,0.0,0,0,0.0,0,0,2917.0,874.0,433.0,227.0,,,,191.0,mobile_app,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,680,557,1.220826,6,0.882353,0.141658,1.249925,0.849949,1.0,0,0.849949,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,50.0,0,0.016999,0.0,0,0,50.0,0,0.016999,0,0,0,0.0,0,0,0.0,0,0,5.0,1.0,,,,,,1.0,mobile_web,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-10,401,268,1.496269,2,0.498753,0.294961,1.471128,0.589922,1.0,0,0.589922,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,0.084275,0.0,0,0,7.0,0,0.084275,0,0,0,0.0,0,0,0.0,0,0,3.0,1.0,1.0,,,,,1.0,desktop,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-10,192249,142570,1.348453,295,0.153447,0.766746,1.176548,226.190144,210.0,0,1.077096,26.0,0,8.699621,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,970.0,0,0.233186,23.0,0,0,970.0,0,0.233186,0,0,0,0.0,0,0,0.0,0,0,179.0,63.0,25.0,12.0,,,,207.0,mobile_app,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-10,490,361,1.357341,3,0.612245,0.166645,1.020273,0.499934,1.0,0,0.499934,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.249967,1.0,0,0,2.0,0,0.249967,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,1.0,mobile_web,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-10,972,797,1.219573,1,0.102881,1.36,1.399177,1.36,1.0,0,1.36,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,1.36,0.0,0,0,1.0,0,1.36,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,1.0,desktop,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-10,98737,84852,1.163638,160,0.162047,0.805938,1.305995,128.95,99.0,0,1.302525,19.0,0,6.786842,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,125.0,0,1.0316,23.0,0,0,125.0,0,1.0316,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,99.0,mobile_app,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-10,350,335,1.044776,0,0.0,0.0,1.342857,0.47,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,mobile_web,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-10,1635,1112,1.470324,5,0.30581,0.377996,1.155952,1.889981,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,146.0,0,0.012945,0.0,0,0,146.0,0,0.012945,0,0,0,0.0,0,0,0.0,0,0,18.0,3.0,2.0,2.0,,,,0.0,desktop,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-10,833132,552339,1.508371,1407,0.168881,0.708145,1.195921,996.360036,1003.0,0,0.99338,144.0,0,6.919167,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,14664.0,0,0.067946,102.0,0,0,14664.0,0,0.067946,0,0,0,0.0,0,0,0.0,0,0,1497.0,344.0,191.0,135.0,,,,995.0,mobile_app,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-10,1587,1169,1.357571,7,0.441084,0.248569,1.096397,1.739983,1.0,0,1.739983,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,0.248569,1.0,0,0,7.0,0,0.248569,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,1.0,mobile_web,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-10,353,326,1.082822,0,0.0,0.0,2.634561,0.93,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,130.0,0,0.007154,0.0,0,0,130.0,0,0.007154,0,0,0,0.0,0,0,0.0,0,0,54.0,28.0,20.0,13.0,,,,0.0,desktop,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-10,178169,126587,1.407483,1160,0.651067,0.601474,3.916001,697.71,576.0,0,1.211302,149.0,0,4.682617,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,79779.0,0,0.008746,1144.0,0,0,79779.0,0,0.008746,0,0,0,0.0,0,0,0.0,0,0,30273.0,12847.0,8029.0,4431.0,,,,567.0,mobile_app,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-10,219,188,1.164894,0,0.0,0.0,1.643836,0.36,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,84.0,0,0.004286,1.0,0,0,84.0,0,0.004286,0,0,0,0.0,0,0,0.0,0,0,24.0,9.0,6.0,3.0,,,,0.0,mobile_web,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-10,170,156,1.089744,0,0.0,0.0,1.588235,0.27,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,desktop,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-10,266234,257516,1.033854,511,0.191936,0.586164,1.125063,299.53,394.0,0,0.760228,59.0,0,5.07678,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,435.0,0,0.688575,15.0,0,0,435.0,0,0.688575,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,394.0,mobile_app,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-10,219,216,1.013889,0,0.0,0.0,0.913242,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,mobile_web,CS
