campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,publisher_platform,platform_position,shopping,video_p25,video_p50,video_p75,video_p100
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,2,2,1.0,0,0.0,0.0,4.971182,0.009942,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_profile_feed,CS,,,,
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,1965,1857,1.058158,5,0.254453,0.528934,1.345887,2.644669,2.0,0,1.322334,2.0,0,1.322334,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,116.0,0,0.022799,1.0,0,0,116.0,0,0.022799,0,0,0,0.0,0,0,0.0,0,0,,,,2.0,facebook,facebook_reels,CS,82.0,22.0,12.0,4.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,9,9,1.0,0,0.0,0.0,1.104707,0.009942,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.004971,0.0,0,0,2.0,0,0.004971,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels_overlay,CS,2.0,,,
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,98,96,1.020833,0,0.0,0.0,1.52179,0.149135,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.074568,0.0,0,0,2.0,0,0.074568,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_stories,CS,2.0,,,
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,1558,1480,1.052703,1,0.064185,1.769741,1.135905,1.769741,1.0,0,1.769741,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,110.0,0,0.016089,0.0,0,0,110.0,0,0.016089,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,facebook,feed,CS,75.0,21.0,10.0,6.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,2711,2543,1.066064,0,0.0,0.0,1.257923,3.410231,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,332.0,0,0.010272,0.0,0,0,332.0,0,0.010272,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,marketplace,CS,227.0,84.0,32.0,24.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,157,157,1.0,1,0.636943,0.16902,1.076562,0.16902,1.0,0,0.16902,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,47.0,0,0.003596,0.0,0,0,47.0,0,0.003596,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,facebook,search,CS,31.0,8.0,4.0,3.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,video_feeds,CS,,,,
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,2284,2284,1.0,2,0.087566,1.337248,1.17097,2.674496,1.0,0,2.674496,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,159.0,0,0.016821,0.0,0,0,159.0,0,0.016821,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,instagram,feed,CS,124.0,36.0,12.0,7.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,81,79,1.025316,0,0.0,0.0,1.595688,0.129251,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.064625,0.0,0,0,2.0,0,0.064625,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_explore,CS,2.0,1.0,,
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,1632,1632,1.0,1,0.061275,2.117723,1.297625,2.117723,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,36.0,0,0.058826,0.0,0,0,36.0,0,0.058826,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_reels,CS,27.0,12.0,9.0,4.0
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-21,3161,3081,1.025966,4,0.126542,1.041463,1.31789,4.16585,3.0,0,1.388617,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,45.0,0,0.092574,0.0,0,0,45.0,0,0.092574,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,instagram,instagram_stories,CS,33.0,14.0,10.0,6.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,34,34,1.0,0,0.0,0.0,1.759053,0.059808,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.019936,0.0,0,0,3.0,0,0.019936,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_profile_feed,CS,2.0,1.0,1.0,1.0
