campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,video_p25,video_p50,video_p75,video_p100,shopping
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-10,462579,253504,1.82474,544,0.117602,1.01921,1.198606,554.45,360.0,0,1.540139,55.0,0,10.080909,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3353.0,1029.0,577.0,363.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-10,281612,226402,1.243858,990,0.351548,0.335677,1.180063,332.32,194.0,0,1.71299,20.0,0,16.616,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2942.0,884.0,439.0,231.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-10,193140,143243,1.348338,300,0.155328,0.7576,1.176763,227.28,212.0,0,1.072075,26.0,0,8.741538,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,182.0,64.0,26.0,12.0,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-10,100059,85395,1.17172,161,0.160905,0.812298,1.307029,130.78,100.0,0,1.3078,19.0,0,6.883158,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-10,836354,554514,1.508265,1419,0.169665,0.704715,1.195654,999.99,1004.0,0,0.996006,144.0,0,6.944375,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1515.0,347.0,193.0,137.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-10,178741,127093,1.40638,1160,0.648984,0.602586,3.910686,699.0,576.0,0,1.213542,149.0,0,4.691275,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,30351.0,12884.0,8055.0,4447.0,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-10,266623,258678,1.030714,511,0.191656,0.587084,1.125184,300.0,394.0,0,0.761421,59.0,0,5.084746,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,CS
[ALC] Carnapet Continente Shopping,120239915880680087,OUTCOME_AWARENESS,2026-02-10,127438,123301,1.033552,245,0.19225,0.612082,1.176729,149.96,199.0,0,0.753568,30.0,0,4.998667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,CS
[ALC] Capivalley - Últimos dias,120240006022760087,OUTCOME_AWARENESS,2026-02-10,419337,327769,1.279367,607,0.144752,0.823723,1.192358,500.0,312.0,0,1.602564,57.0,0,8.77193,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4338.0,1040.0,545.0,325.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-02-10,154969,130172,1.190494,245,0.158096,0.757837,1.198111,185.67,182.0,0,1.020165,93.0,0,1.996452,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,639.0,170.0,98.0,65.0,CS
TFG - Narbona Site,120240056012140087,LINK_CLICKS,2026-02-10,178975,96477,1.855105,5863,3.275877,0.16783,5.497919,983.99,4256.0,0,0.231201,1078.0,0,0.912792,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3401.0,868.0,580.0,400.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-01,102210,71841,1.422725,177,0.173173,0.66435,1.150475,117.59,105.0,0,1.119905,55.0,0,2.138,1.0,0,117.59,0,0,0,0,0,0,12.0,0,9.799167,0,0,0,582.0,163.0,94.0,51.0,CS
[ALC] Musical K-Pop,120240776590700087,OUTCOME_AWARENESS,2026-03-01,50115,46048,1.088321,84,0.167614,0.71,1.190063,59.64,50.0,0,1.1928,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,CS
ALC - VOLTA AS AULAS,120240233245310402,OUTCOME_AWARENESS,2026-02-10,59810,56586,1.056975,45,0.075238,1.468889,1.105166,66.1,28.0,0,2.360714,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,322.0,42.0,16.0,13.0,BS
ALC - SUMMER,120240233387880402,OUTCOME_AWARENESS,2026-02-10,581726,337754,1.722336,260,0.044695,2.449615,1.094845,636.9,35.0,0,18.197143,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,34378.0,7902.0,4324.0,3007.0,BS
