shopping,plataforma,tipo_post,likes,comentarios,salvos,compartilhamentos,alcance,impressoes,engajamento,qtd_posts
AJ,Facebook,Album,1,0,0,0,0,0,1,2
AJ,Facebook,Imagem,1,0,0,0,0,0,1,2
AJ,Instagram,Carrossel,77,3,1,3,1890,0,84,2
AJ,Instagram,Imagem,30,5,0,3,1537,0,38,2
BS,Facebook,Video,17,1,0,0,0,0,18,17
BS,Instagram,Carrossel,12420,669,698,7086,531189,0,20873,109
BS,Instagram,Imagem,296,39,22,68,37852,0,425,14
BS,Instagram,Reel,5587,304,123,1869,153339,0,7883,24
BS,Instagram,Story,0,2,0,0,74703,0,2,61
CS,Instagram,Carrossel,25349,496,1868,21440,590050,0,49153,64
CS,Instagram,Imagem,983,74,130,1063,37094,0,2250,5
CS,Instagram,Reel,8829,704,421,5214,251514,0,15168,36
CS,Instagram,Story,0,9,0,0,186004,0,9,89
CS_Residences,Facebook,Album,0,0,0,0,0,0,0,3
CS_Residences,Facebook,Video,0,0,0,0,0,0,0,1
CS_Residences,Instagram,Carrossel,24,3,2,8,829,0,37,3
CS_Residences,Instagram,Reel,9,0,0,18,310,0,27,1
NK,Facebook,Album,0,0,0,0,0,0,0,2
NK,Facebook,Video,2,0,0,0,0,0,2,4
NK,Instagram,Carrossel,3464,109,111,1602,67490,0,5286,15
NK,Instagram,Imagem,45,4,0,10,2063,0,59,1
NK,Instagram,Reel,19756,821,694,6728,368409,0,27999,55
NK,Instagram,Story,0,2,0,0,24846,0,2,40
NS,Facebook,Album,18,1,0,1,0,0,20,27
NS,Facebook,Imagem,38,0,0,1,0,0,39,16
NS,Facebook,Video,60,0,0,0,0,0,60,76
NS,Instagram,Carrossel,7771,217,378,4040,303170,0,12406,25
NS,Instagram,Imagem,9627,578,382,3993,240870,0,14580,14
NS,Instagram,Reel,24117,911,625,9523,745383,0,35176,77
NS,Instagram,Story,0,5,0,0,57587,0,5,47
