gender,stat_time_day,conversion,spend,impressions,cpm,clicks,cpc,ctr,cost_per_conversion,conversion_rate,shopping,shopping_sigla
NONE,2025-08-29 00:00:00,0,0.14,78,1.79,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-08-29 00:00:00,0,22.37,10138,2.21,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-08-29 00:00:00,0,23.61,10602,2.23,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-08-30 00:00:00,0,0.18,95,1.89,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-08-30 00:00:00,0,25.08,11351,2.21,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-08-30 00:00:00,0,27.98,12245,2.29,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-08-31 00:00:00,0,0.2,113,1.77,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-08-31 00:00:00,0,21.85,10416,2.1,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-08-31 00:00:00,0,23.52,10223,2.3,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-01 00:00:00,0,0.26,130,2.0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-01 00:00:00,0,18.39,9884,1.86,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-01 00:00:00,0,23.38,11213,2.09,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-02 00:00:00,0,0.21,134,1.57,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-02 00:00:00,0,19.87,9452,2.1,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-02 00:00:00,0,21.9,10415,2.1,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-03 00:00:00,0,0.26,155,1.68,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-03 00:00:00,0,19.43,8730,2.23,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-03 00:00:00,0,22.68,9590,2.36,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-04 00:00:00,0,0.23,133,1.73,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-04 00:00:00,0,19.75,8365,2.36,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-04 00:00:00,0,23.15,8923,2.59,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-05 00:00:00,0,0.21,117,1.79,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-05 00:00:00,0,20.17,9134,2.21,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-05 00:00:00,0,24.41,10981,2.22,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-06 00:00:00,0,0.21,112,1.88,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-06 00:00:00,0,19.16,8552,2.24,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-06 00:00:00,0,22.59,10658,2.12,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-07 00:00:00,0,0.25,101,2.48,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-07 00:00:00,0,20.02,8758,2.29,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-07 00:00:00,0,21.73,10022,2.17,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-08 00:00:00,0,0.24,133,1.8,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-08 00:00:00,0,18.75,8412,2.23,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-08 00:00:00,0,21.9,9653,2.27,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2025-09-09 00:00:00,0,0.13,49,2.65,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
MALE,2025-09-09 00:00:00,0,24.89,11225,2.22,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
FEMALE,2025-09-09 00:00:00,0,31.66,13053,2.43,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
