hora,shopping,shopping_sigla,conversion_rate,ctr,conversion,total_complete_payment_rate,cost_per_conversion,follows,profile_visits,clicks,cpc,clicks_on_music_disc,likes,cpm,comments,spend,shares,impressions
0,Nacoes Shopping,NS,0.0,59.93,0,0.0,0.0,13,48,437,14.46,0,39,469.55,0,73.28999999999999,0,31965
1,Nacoes Shopping,NS,0.0,39.91,0,0.0,0.0,9,31,226,8.38,0,24,114.94,0,49.12,1,19994
2,Nacoes Shopping,NS,0.0,42.01,0,0.0,0.0,4,20,130,12.37,0,14,170.67,0,40.76,0,11884
3,Nacoes Shopping,NS,0.0,28.3,0,0.0,0.0,3,12,65,4.25,0,9,153.13,0,23.06,0,7976
4,Nacoes Shopping,NS,0.0,22.4,0,0.0,0.0,3,8,42,3.69,0,16,156.32,0,21.7,0,6898
5,Nacoes Shopping,NS,0.0,28.01,0,0.0,0.0,5,13,77,3.38,0,11,153.84,0,27.42,1,9235
6,Nacoes Shopping,NS,0.0,52.85,0,0.0,0.0,7,25,225,6.91,0,21,125.3,0,47.56,0,17627
7,Nacoes Shopping,NS,0.0,48.36,0,0.0,0.0,7,25,312,13.67,0,29,134.91,1,73.36,1,22697
8,Nacoes Shopping,NS,0.0,85.51,0,0.0,0.0,9,18,601,8.370000000000001,0,32,120.19,2,60.88,1,22331
9,Nacoes Shopping,NS,0.0,80.14,0,0.0,0.0,11,21,572,8.74,0,31,144.22,1,71.84,0,23377
10,Nacoes Shopping,NS,0.0,103.74,0,0.0,0.0,10,37,866,8.48,0,34,135.2,0,75.24,1,26158
11,Nacoes Shopping,NS,0.0,100.66,0,0.0,0.0,9,43,1048,12.66,0,30,143.16,0,90.76,0,31044
12,Nacoes Shopping,NS,0.0,81.36,0,0.0,0.0,12,64,1031,28.5,0,65,292.32,0,151.54,0,42350
13,Nacoes Shopping,NS,0.0,76.48,0,0.0,0.0,10,89,1020,42.14,0,41,494.48,0,149.72,1,43434
14,Nacoes Shopping,NS,0.0,72.77,0,0.0,0.0,11,58,998,41.209999999999994,0,47,1003.3299999999999,0,137.53,1,40628
15,Nacoes Shopping,NS,0.0,68.46,0,0.0,0.0,10,57,923,21.02,0,45,398.45,1,109.39999999999999,1,40859
16,Nacoes Shopping,NS,0.0,72.78,0,0.0,0.0,16,47,880,23.46,0,58,450.38,0,123.63,0,44717
17,Nacoes Shopping,NS,0.0,65.58,0,0.0,0.0,10,62,969,25.5,0,66,340.76,0,146.9,0,52817
18,Nacoes Shopping,NS,0.0,57.59,0,0.0,0.0,28,69,999,16.68,0,60,116.2,0,148.27,1,60194
19,Nacoes Shopping,NS,0.0,72.91,0,0.0,0.0,23,73,1327,20.48,0,70,113.32,0,159.84,0,62494
20,Nacoes Shopping,NS,0.0,71.2,0,0.0,0.0,18,88,1440,20.14,0,76,272.08,0,183.64,1,67431
21,Nacoes Shopping,NS,0.0,57.68,0,0.0,0.0,12,92,1180,13.85,0,71,110.9,0,172.27,1,66879
22,Nacoes Shopping,NS,0.0,68.56,0,0.0,0.0,19,105,1333,14.95,0,70,156.15,2,149.23,4,62943
23,Nacoes Shopping,NS,0.0,63.51,0,0.0,0.0,16,84,1029,18.689999999999998,0,63,101.52,0,112.07,0,51651
