stat_time_day,campaign_id,average_video_play_per_user,conversion_rate,video_views_p75,cpm,spend,video_views_p100,conversion,impressions,clicks,video_watched_2s,cpc,ctr,average_video_play,total_complete_payment_rate,engaged_view_15s,video_watched_6s,video_views_p50,video_play_actions,video_views_p25,cost_per_conversion,engaged_view,shopping,shopping_sigla,campaign_name,objective_type
2025-09-11 00:00:00,1841798413913185,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-09-06 00:00:00,1841798413913185,2.08,0.0,59,2.17,41.96,28,0,19322,0,2332,0.0,0.0,1.61,0.0,233,608,122,19198,324,0.0,610,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-10-03 00:00:00,1844352110838818,1.58,0.0,14,2.11,20.98,6,0,9953,0,777,0.0,0.0,1.25,0.0,51,164,31,9852,58,0.0,156,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-28 00:00:00,1844352110838818,1.9,0.0,12,2.34,22.09,6,0,9460,0,621,0.0,0.0,1.21,0.0,39,105,19,9402,37,0.0,106,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-03 00:00:00,1844350458030129,1.43,0.0,19,2.11,19.85,10,0,9387,0,750,0.0,0.0,1.19,0.0,28,100,29,9325,107,0.0,104,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-28 00:00:00,1844350458030129,1.65,0.0,17,2.35,20.69,11,0,8821,0,538,0.0,0.0,1.13,0.0,26,86,23,8772,83,0.0,84,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-10 00:00:00,1842808228610226,1.25,0.0,128,2.54,76.72,86,0,30245,0,1987,0.0,0.0,1.18,0.0,133,435,239,29982,565,0.0,434,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-17 00:00:00,1842808228610226,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-12 00:00:00,1842808228610226,1.22,0.0,116,2.78,76.17,70,0,27360,0,1901,0.0,0.0,1.19,0.0,119,381,200,27105,521,0.0,380,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-08 00:00:00,1841798413913185,1.93,0.0,61,2.25,40.89,31,0,18198,0,2218,0.0,0.0,1.49,0.0,201,541,116,18061,301,0.0,538,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-10-01 00:00:00,1844350458030129,1.69,0.0,24,2.1,19.5,17,0,9273,0,849,0.0,0.0,1.28,0.0,52,132,49,9197,131,0.0,128,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-26 00:00:00,1844350458030129,1.76,0.0,10,2.3,9.75,5,0,4244,0,229,0.0,0.0,1.06,0.0,9,44,14,4229,33,0.0,44,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-10 00:00:00,1841798413913185,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-10-05 00:00:00,1844352110838818,1.61,0.0,13,1.95,19.28,7,0,9891,0,712,0.0,0.0,1.21,0.0,39,132,22,9817,43,0.0,127,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-30 00:00:00,1844352110838818,1.69,0.0,6,2.51,21.55,3,0,8600,0,604,0.0,0.0,1.19,0.0,37,122,15,8531,40,0.0,118,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-14 00:00:00,1842808228610226,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-09 00:00:00,1842808228610226,1.16,0.0,57,2.3,39.5,34,0,17150,0,948,0.0,0.0,1.15,0.0,57,191,102,17046,266,0.0,185,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-16 00:00:00,1842808228610226,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-10-04 00:00:00,1844350458030129,1.48,0.0,23,1.99,18.92,16,0,9524,0,668,0.0,0.0,1.17,0.0,28,108,45,9466,100,0.0,110,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-29 00:00:00,1844350458030129,1.59,0.0,14,2.48,20.62,9,0,8311,0,633,0.0,0.0,1.17,0.0,28,93,33,8262,87,0.0,93,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-11 00:00:00,1842808228610226,1.43,0.0,127,2.68,77.44,77,0,28863,0,1814,0.0,0.0,1.38,0.0,126,369,204,28628,519,0.0,365,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-10-04 00:00:00,1844352110838818,1.58,0.0,10,1.99,19.55,3,0,9818,0,721,0.0,0.0,1.2,0.0,50,144,18,9742,49,0.0,141,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-29 00:00:00,1844352110838818,1.79,0.0,16,2.49,21.92,6,0,8791,0,570,0.0,0.0,1.22,0.0,43,106,26,8724,43,0.0,102,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-12 00:00:00,1841798413913185,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-09-07 00:00:00,1841798413913185,2.37,0.0,64,2.22,42.0,39,0,18881,0,2205,0.0,0.0,1.79,0.0,210,517,133,18768,293,0.0,526,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-09-27 00:00:00,1811358948673554,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Tráfego - App instal - NS,TRAFFIC
2025-10-02 00:00:00,1844352110838818,1.86,0.0,13,2.18,21.02,6,0,9651,0,834,0.0,0.0,1.34,0.0,52,153,28,9553,56,0.0,154,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-27 00:00:00,1844352110838818,1.93,0.0,8,2.42,21.78,5,0,8998,0,534,0.0,0.0,1.16,0.0,31,100,17,8946,39,0.0,96,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-02 00:00:00,1844350458030129,1.7,0.0,34,2.18,19.73,23,0,9035,0,778,0.0,0.0,1.33,0.0,44,131,59,8962,143,0.0,130,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-27 00:00:00,1844350458030129,1.73,0.0,18,2.42,20.51,8,0,8469,0,539,0.0,0.0,1.11,0.0,21,96,34,8427,86,0.0,95,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-09 00:00:00,1841798413913185,1.87,0.0,23,2.39,17.18,8,0,7177,0,922,0.0,0.0,1.51,0.0,84,212,57,7098,113,0.0,212,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
2025-09-13 00:00:00,1842808228610226,1.23,0.0,57,2.94,30.17,37,0,10275,0,704,0.0,0.0,1.23,0.0,55,140,77,10184,193,0.0,133,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-10-01 00:00:00,1844352110838818,1.84,0.0,13,2.1,20.69,5,0,9848,0,797,0.0,0.0,1.29,0.0,60,166,29,9733,61,0.0,161,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-26 00:00:00,1844352110838818,2.04,0.0,5,2.28,10.4,3,0,4555,0,276,0.0,0.0,1.14,0.0,16,47,9,4527,18,0.0,47,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-09-15 00:00:00,1842808228610226,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
2025-09-18 00:00:00,1806749763596289,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,NSpromopais24,TRAFFIC
2025-10-05 00:00:00,1844350458030129,1.47,0.0,21,1.95,18.23,14,0,9346,0,653,0.0,0.0,1.17,0.0,28,102,39,9298,116,0.0,100,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-09-30 00:00:00,1844350458030129,1.62,0.0,19,2.51,20.01,10,0,7984,0,636,0.0,0.0,1.23,0.0,22,107,45,7925,99,0.0,104,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-11-01 00:00:00,1847431562326049,1.26,0.0,10,2.08,9.95,3,0,4792,0,315,0.0,0.0,1.24,0.0,37,116,24,4760,36,0.0,116,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-10-13 00:00:00,1844352110838818,1.56,0.0,7,2.1,17.47,5,0,8328,0,562,0.0,0.0,1.17,0.0,42,113,16,8266,44,0.0,107,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-02 00:00:00,1847431714944034,1.2,0.0,13,1.87,12.37,10,0,6599,21,683,0.59,0.32,1.18,0.0,28,70,25,6557,47,0.0,78,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
